TEL_NO,BTH_GBN_NM,ASSEM_ADDR,HJ_NM,HG_NM,BTH_DATE,ELECT_GBN_NM,POLY_NM,REELE_GBN_NM,CMITS,MEM_TITLE,ENG_NM,SEX_GBN_NM,E_MAIL,MONA_CD,SECRETARY2,JOB_RES_NM,STAFF,HOMEPAGE,CMIT_NM,SECRETARY,ORIG_NM,UNITS
02-784-3807,양,의원회관 744호,金振杓,김진표,1947-05-04,지역구,무소속,5선,,"행시13회
재정경제부 세제실장
김대중대통령비서실 정책기획수석
국무조정실장
노무현대통령직인수위원회 부위원장
부총리 겸 재정경제부장관
부총리 겸 교육인적자원부장관
민주당 최고위원
민주당 참좋은지방정부위원회 위원장
민주당 원내대표
국회 지방재정특별위원회 위원장
국회 정치쇄신특별위원회 위원장
국회 지방재정분권특별위원회 위원장
국정기획자문위원회 위원장",KIM JINPYO,남,,Q9H5708M,"김보경, 오재호, 최은정, 김영휘",위원,"이병진, 이현진",,,"김진호, 홍승화",경기 수원시무,"제17대, 제18대, 제19대, 제20대, 제21대"
02-784-2135,음,의원회관 1019호,金哲玟,김철민,1957-02-15,지역구,더불어민주당,재선,행정안전위원회,"2017.03 ~ 을지키는 민생실천위원회 운영위원
2017.01 ~ 표현의자유특별위원회 위원\
2016.12 ~ AI 및 구제역확산방지 특별위원회 위원
2016.11 ~ 참좋은지방정부위원회 상임위원
2016.09 ~ 세월호특별위원회 위원
2016.06 ~ 제20대 국회 전반기 예산결산특별위원회 위원
2016.06 ~ 제20대 국회 전반기 농림축산식품해양수산위원회 위원
2016.05 ~ 제20대 안산상록을 국회의원
2013 ~ 2014 제7대 경기중부권행정협의회 회장
2012 ~ 2014 제1대 전국다문화도시협의회 회장
2010 ~ 2014 민선5기 경기도 안산시장
                 민주당 지방자치위원회 부위원장
                 민주당 경기도당 중소기업특별위원회 위원장
민주당 상록을 지역위원장 직무대행
상록신용협동조합 이사장
안산시육상경기연맹 회장
안산중앙라이온스클럽 회장
안산경제정의실천시민연합 자문위원
안산환경운동연합 자문위원
참안산사람들 공동대표
안산늘푸른학교 후원회 회장
안산종합건축사사무소 대표
안산시건축사협회 회장
국제라이온스클럽 354B지구 부총재
경희대학교AMP 안산총동문회 회장
안산시호남향우회 회장
안산상록경찰서 선진질서위원회 위원장

2006 ~ 2008 한양대학교 산업경영디자인대학원 경영학 석사
1981 ~ 1991 한밭대학교 건축공학 학사
1975    고등학교 졸업학력 검정고시
1972 ~ 1974 경동고등학교 중퇴
1969 ~ 1972 대전중학교
1963 ~ 1969 대전중앙초등학교",KIM CHEOLMIN,남,kcm8764@naver.com,1MU99298,"이성범, 김은혜, 최신영, 정혁준",위원,"김정훈, 이창민",http://blog.naver.com/kcm8764,행정안전위원회,"전가영, 최성희",경기 안산시상록구을,"제20대, 제21대"
"02-784-4570, 031-751-4048",음,의원회관 504호,金太年,김태년,1965-03-20,지역구,더불어민주당,4선,기획재정위원회,"제17,19, 20, 21대 국회의원(4선)

전) 더불어민주당 원내대표
전) 국회 운영위원회 위원장

전) 더불어민주당 정책위의장
전) 국정기획자문위원회 부위원장
전) 국회 예산결산특별위원회 간사
전) 국회 교육문화체육관광위원회 간사
전) 국회 정치개혁특별위원회 간사




",KIM TAENYEON,남,ktn0320@daum.net,1WE5693J,"배지은, 천지현, 정유나, 고이화, 유지수",위원,"강경훈, 정진경",http://www.ktn21.com,기획재정위원회,"안승태, 황현진",경기 성남시수정구,"제17대, 제19대, 제20대, 제21대"
02-784-0896~7,음,의원회관 907호,金台鎬,김태호,1962-08-21,지역구,국민의힘,3선,외교통일위원회,"서울대학교 대학원 교육학 박사
제 36대 거창군 군수
제 32대·33대 경상남도 도지사
제 18대 · 19대 국회의원(김해을)
前 새누리당 최고위원
現 제 21대 국회의원
국회 외교통일위원회",KIM TAEHO,남,taehoshgh@naver.com,P0F1530P,"최장현, 박수현, 박찬호, 김정민, 서유정",위원,권정욱,,외교통일위원회,"김경수, 김영조",경남 산청군함양군거창군합천군,"제18대, 제19대, 제21대"
02-784-3291~3 /F.02-6788-6910,양,의원회관 911호,金學容,김학용,1961-12-10,지역구,국민의힘,4선,"국토교통위원회, 대법관(오석준) 임명동의에 관한 인사청문특별위원회","제18, 19, 20, 21대 국회의원
前 국회 국방위원장, 환경노동위원장
前 국회 예산결산특별위원회 간사
前 국회 정치개혁특별위원회 간사
명예 전라남도, 제주특별자치도민
명예 여수시민, 신안군민, 영광군민

",KIM HACKYONG,남,ansung24@naver.com,F5U2979W,"박인규, 조윤재, 박근배, 신승원, 김선영",위원,"윤오영, 한상수",,"국토교통위원회, 대법관(오석준) 임명동의에 관한 인사청문특별위원회","고성한, 김성순",경기 안성시,"제18대, 제19대, 제20대, 제21대"
02-784-5621,음,의원회관 731호,金翰奎,김한규,1974-07-01,지역구,더불어민주당,초선,"여성가족위원회, 예산결산특별위원회, 정무위원회","현)제21대 제주시을 국회의원
현)더불어민주당 제주시을 지역위원장
전)문재인 정부 청와대 정무비서관
전)더불어민주당 법률대변인
전)김앤장 법률사무소 변호사(사법연수원 31기)
제41회 사법시험 합격
미국 뉴욕주 변호사
",KIM HANKYU,남,hanqkim74@gmail.com,NUB4941Z,"김경용, 장경환, 유동현, 박기완, 곽재신",위원,"오영진, 황종섭",,"여성가족위원회, 예산결산특별위원회, 정무위원회","박형수, 천지용",제주 제주시을,제21대
02-784-0496,음,의원회관 631호,金漢正,김한정,1963-09-06,지역구,더불어민주당,재선,산업통상자원중소벤처기업위원회,"○ 학력
 ㆍ1979년 2월   마산 동중학교 졸업
 ㆍ1982년 2월   서울 휘문고등학교 졸업
 ㆍ1989년 2월   서울대학교 사회과학대학 국제경제학과 졸업
 ㆍ1997년 6월   미국 Rutgers 뉴저지 주립대학교 대학원 박사과정 수료(국제정치 전공)                   (1994.9.-1997.6.)
 
○ 경력
ㆍ1989 ~ 1992 민주당 김대중 총재 공보비서 
ㆍ1998 ~ 1999 국가정보원장 대외협력보좌역 
ㆍ1999 ~ 2003 국민의정부 청와대 제1부속실장 
ㆍ2000 김대중 대통령 평양 남북정상회담 수행 
ㆍ2003 ~ 2005 김대중 전직대통령 비서실 실장 (정무직 1급상당 비서관) 
ㆍ2003 ~ 2005 아시아태평양민주지도자회의(FDL-AP) 사무총장 
ㆍ2006 ~ 2007 미국 코넬대학교 동아시아센터 초청연구원 
ㆍ2010 ~ 2011 가천대학교 사회정책대학원 교수, 대외협력처장 
ㆍ2011 박원순 서울특별시장 후보자 정책특보 
ㆍ2012 ~ 2012 문재인 대통령후보 수행단장, 민주통합당 인재영입위원회 부위원장 
ㆍ2011 ~ 2016 환경재단 기획위원 
ㆍ2013 ~ 2016 연세대학교 동아시아국제학부(원주) 객원교수 
ㆍ2010 ~ 사단법인 행동하는양심 상임이사 
ㆍ2014 ~ 노무현재단 운영위원 
ㆍ2016 ~ 민족화해협력범국민협의회 집행위원장
ㆍ2016 ~ 민족화해협력범국민협의회 집행위원장
ㆍ2016.05 ~ 2020.05 제20대 국회의원(경기 남양주시을/더불어민주당) 
ㆍ2016.06 ~ 2017.05 제20대 국회 전반기 운영위원회 위원
ㆍ2016.06 ~ 2017.09 제20대 국회 전반기 농림축산식품해양수산위원회 위원
ㆍ2016.06 ~ 2017.05 더불어민주당 원내정책부대표
ㆍ2016.06 ~ 2017.05 제20대 국회 전반기 예산결산특별위원회 위원
ㆍ2016.07 ~ 2017.06 제20대 국회 전반기 미래일자리 특별위원회 위원
ㆍ2016.11 ~ 2017.01 박근혜 정부의 최순실 등 민간인에 의한 국정농단 의혹사건 진상규명을 위한 국정조사특별위원회 위원
ㆍ2017 제19대 대통령선거 더불어민주당 중앙선대위원회 전략본부 부본부장
ㆍ2017.08 ~ 2017.12 제20대 국회 정치개혁 특별위원회 위원
ㆍ2017.09 ~ 2018.05 제20대 국회 전반기 교육문화체육관광위원회 위원
ㆍ2018.03 ~ 2018.05 더불어민주당 원내대표 외교안보특보
ㆍ2018.07  제 20대 국회 하반기 행정안전위원회 위원
ㆍ2020.05 ~ 제21대 국회의원(경기 남양주시을/더불어민주당) 
ㆍ2020.06 ~ 국회 한반도평화포럼 대표의원
ㆍ2020.06 ~ 제21대 국회 전반기 정무위원회 위원
ㆍ2020.06 ~ 제21대 국회 전반기 예산결산특별위원회 위원
ㆍ2020.09 ~ 더불어민주당 정책위원회 선임부의장
ㆍ2020.10 ~ 국회 한일의원연맹 상임간사
ㆍ2020.10 ~ 더불어민주당 국난극복 K-뉴딜위원회 코로나 국난극복본부 본부장
ㆍ2021.06 ~ 더불어민주당 국제위원회 위원장

○ 저서
<나의 멘토 김대중 : DJ와 함께한 청춘이야기> (2011)
<남양주, 날다: 김한정의 경쾌한 도시정치 이야기> (2014)
<남양주 시민과 함께 걸어가는 김한정의 길> (2016)",KIM HANJUNG,남,7840498@naver.com,09I2323E,"이경일, 추찬호, 강다현, 이채은, 임성현",간사,"도보은, 장미희",http://blog.naver.com/hanjungkim,산업통상자원중소벤처기업위원회,"김덕현, 송일용",경기 남양주시을,"제20대, 제21대"
02-6788-6356,음,의원회관 1016호,金亨東,김형동,1975-03-25,지역구,국민의힘,초선,환경노동위원회,"□ 학  력
  ○ 사법시험 합격(45회)
  ○ 서울대학교 언론정보학과 졸업
  ○ 안동고등학교 졸업(42회)  
  ○ 경덕중학교 졸업(38회) 
  ○ 안동초등학교 졸업(76회)
  
□ 주요경력
 ○ 전) 21대 국회 행정안전위원회 위원
 ○ 전) 국민의힘 수석대변인
 ○ 전) 국민의힘 20대 대통령선거 선대본부 대변인
 ○ 전) 국민의힘 원내부대표
 ○ 전) 노동법이론실무학회 이사
 ○ 전) 법무법인 중앙법률원 대표 변호사
 ○ 전) 한국노총 중앙법률원 부원장
 ○ 전) OECD 산하 분쟁조정기구 국내연락사무소 한국 NCP 위원
 ○ 전) 이주노동희망센터 이사",KIM HYUNGDONG,남,khyungdong@naver.com,JEZ3130Q,"김미숙, 안문희, 심태현, 안근환",위원,이종명,https://blog.naver.com/khyungdong,환경노동위원회,"권순구, 김동학",경북 안동시예천군,제21대
02-784-0615,음,의원회관 615호,金弘傑,김홍걸,1963-11-12,비례대표,무소속,초선,외교통일위원회,"현) 제21대 국회 전반기 외교통일위원회 위원
전) 민족화해협력범국민협의회 대표상임의장
전) 김대중이희호기념사업회 이사장
전) 퍼모나대학교 태평양연구소 객원연구원",KIM HONGGUL,남,2020kimhonggul@gmail.com,PO64874I,"이승은, 이승렬, 강경미, 최서연, 최웅식",위원,"김정호, 김현진",http://blog.naver.com/hgkm615,외교통일위원회,"이진경, 조호제",비례대표,제21대
02-784-3285 / 061-684-6600,양,의원회관 831호,金會在,김회재,1962-11-24,지역구,더불어민주당,초선,산업통상자원중소벤처기업위원회,"<주요 경력>
- 제21대 여수을 국회의원
- 국회국토교통위원회 위원
- 더불어민주당 법률위원장

- 전) 국회운영위원회 위원
- 전) 더불어민주당 원내부대표
- 전) 의정부지방검찰청 검사장
- 전) 광주지방검찰청 검사장

<수상 내역>
- 자랑스런 여수인상(2016)
- 홍조근정훈장(2011)",KIM HOIJAE,남,khj539@naver.com,M6H1705E,"박선미, 신희범, 원경섭, 왕명희, 천세은",위원,"권영근, 정상운",blog.naver.com/khj539,산업통상자원중소벤처기업위원회,"김지호, 서정한",전남 여수시을,제21대
02-784-6346,양,의원회관 623호,金熙坤,김희곤,1964-12-17,지역구,국민의힘,초선,정무위원회,"- 부산 동래고
- 부산대학교 법학 학사
- 연세대학교 행정대학원 석사

현) 21대 국회의원(부산 동래구/ 국민의힘)
현) 21대 국회 정무위원회 위원
현) 21대 국회 윤리특별위원회 위원
현) 국민의힘 원내부대표
현) 미래통합당 부산광역시당 수석대변인
전) 해양수산부 장관 정책보좌관
전) 국회의원 보좌관
전) 대통령비서실 정치특보실",KIM HEEGON,남,caesar1217@assembly.go.kr,52P3934K,"신한섭, 김진만, 윤태건, 류성철, 이주희",위원,"임병국, 진명구",,정무위원회,"안태훈, 장지원",부산 동래구,제21대
02-784-3136~8,음,의원회관 713호,金熙國,김희국,1958-10-20,지역구,국민의힘,재선,국토교통위원회,"■ 학력사항
- 경북고
- 경북대 행정학과
- 광운대 법학과 박사

■ 경력사항
- 제24회 행정고시 
- 부산지방해양항만청 항만물류과 과장
- 건설교통부 고속철도과 과장
- 국토해양부 제2차관
- 제19대 국회의원 (대구 중구남구/새누리당)
- 제19대 국회 보건복지위원회 위원
- 제19대 국회 예산결산특별위원회 위원
- 제19대 국회 창조경제활성화특별위원회 위원
- 제19대 국회 국토교통위원회 위원
- 새누리당 중앙재해대책위원장
- 제19대 국회 서민주거복지특별위원회 위원
- 새누리당 민생정책특별위원회 부위원장
- 한국건설법무학회 회장
- 제21대 국회의원 (경북 군위군의성군청송군영덕군/국민의힘)(現)",KIM HEEKUK,남,heekuk1020@naver.com,6AR6743G,"조하나, 김세림, 신영규, 박미나",위원,최승환,,국토교통위원회,"김동우, 오장택",경북 군위군의성군청송군영덕군,"제19대, 제21대"
02-784-5980,양,의원회관 748호,南仁順,남인순,1958-11-05,지역구,더불어민주당,3선,"보건복지위원회, 정치개혁특별위원회","현) 제21대 국회의원(서울 송파병)
현) 국회 보건복지위원
현) 더불어민주당 여성정치참여확대위원회 위원장
현) 한국여성의정 공동대표
현) 저출생·인구절벽대응국회포럼 공동대표
현) 한국아동인구환경의원연맹(CPE) 회장 권한대행
현) 더불어민주당 을지로위원회 고문
현) 더불어민주당 민생연석회의 위원

제19~20대 국회의원
더불어민주당 최고위원
더불어민주당 코로나19국난극복위원회 부위원장
더불어민주당 민생연석회의 운영위원장
더불어민주당 유치원·어린이집 공공성강화 특별위원회 위원장
더불어민주당 보육특별위원장
더불어민주당 젠더폭력대책특별위원장
더불어민주당 여성가족위원장(20대 국회 전반기)
새정치민주연합 전국여성위원장·원내부대표
새정치민주연합 대외협력위원장
19대 국회 아동·여성대상 성폭력대책 특별위원회 간사",NAM INSOON,여,nisoon@na.go.kr,04T3751T,"강성현, 이하나, 김영윤, 정다인, 위정희",위원,"김봉겸, 김은경",http://blog.naver.com/nisoon,"보건복지위원회, 정치개혁특별위원회","김영지, 김평수",서울 송파구병,"제19대, 제20대, 제21대"
02-784-4710,양,의원회관 407호,魯容昊,노용호,1971-05-14,비례대표,국민의힘,초선,산업통상자원중소벤처기업위원회,"■ 학   력  
 - 관동대학교 산업공학과
 - 강릉명륜고등학교 
 - 현북중학교
 - 현북초등학교

■ 경력
  (현) 제 21대 국회의원(비례대표/국민의힘)

  (전) 국민의힘 총무국장
  (전) 국민의힘 정책위원회 농림축산식품해양수산위원회 수석전문위원
  (전) 미래통합당 조직국장
  (전) 자유한국당 조직국장
  (전) 자유한국당 기획조정국장
  (전) 새누리당 정책위원회 산업통상자원위원회수석전문위원
  (전) 새누리당 강원도당 사무처장
  (전) 민주자유당 사무처당직자 공채 5기",RHO YONGHO,남,ryh4711@naver.com,JVB6983V,"조태희, 전효수, 권희연, 금성윤, 박채림",위원,"이광우, 이혜인",https://blog.naver.com/ryh4711,산업통상자원중소벤처기업위원회,"손성민, 황인봉",비례대표,제21대
02-6788-6386,양,의원회관 901호,盧雄來,노웅래,1957-08-03,지역구,더불어민주당,4선,환경노동위원회,"더불어민주당 국회의원(마포갑/17대,19대,20대,21대)
더불어민주당 최고위원
국회 환경노동위원회/정보위원회 위원
디지털뉴딜라운드 공동수석의장
&#039통일을 넘어 유라시아로&#039 국회연구단체 공동대표
민주화추진협의회 자문위원
민족화해협력범국민협의회 공동의장
공덕초, 중앙대, 방통대, 동국대 대학원 졸업
20대 국회 후반기 과학기술방송통신위원회 위원장
20대 국회 전반기 교육문화체육관광위원회 위원
더불어민주당 사교육대책특별위원장 (전)
민주당 사무총장 (전)
민주당 서울시당위원장 (전)
국회 예산결산특별위원회 위원 (전)
MBC 전국노조위원장 (전)
매일경제신문, MBC 기자 (21년)",NOH WOONGRAE,남,wraenoh1@gmail.com,0827740Q,"최정빈, 박수철, 정주미, 김현지, 우정현",위원,"김성열, 조유진",https://blog.naver.com/with_wraenoh,환경노동위원회,"문관식, 이상건",서울 마포구갑,"제17대, 제19대, 제20대, 제21대"
02-784-2537,음,의원회관 333호,都鍾煥,도종환,1955-09-27,지역구,더불어민주당,3선,교육위원회,"시인, 現 국회의원(3선-19&middot;20&middot;21대, 충북 청주흥덕)
충북대학교 국어교육과 졸업
충남대학교 대학원 졸업(문학박사)

전) 국회 문화체육관광위원회 상임위원장
전) 문화체육관광부 장관
전) 국회 국방위원회 위원
전) 국회 교육문화체육관광위원회 간사
전) 국회 박근혜정부 국정농단 국정조사 특별위원
전) 더불어민주당 대변인
전) 더불어민주당 충북도당위원장
전) 더불어민주당 한국사 교과서 국정화저지 특별위원장",DO JONGHWAN,남,djhpoem@assembly.go.kr,J2O8643H,"송경화, 남상문, 이기훈, 정찬재, 이지환",위원,"천준호, 홍수진",http://blog.naver.com/djhpoem,교육위원회,"나채선, 이대건",충북 청주시흥덕구,"제19대, 제20대, 제21대"
02-784-7141,음,의원회관 605호,柳性杰,류성걸,1957-07-12,지역구,국민의힘,재선,"민생경제안정특별위원회, 기획재정위원회","□ 학력
    - 대구초 / 경구중 / 경북고 졸업
    - 경북대학교 경제학과 졸업
    - 美 시라큐즈대학교 경제학 석사(1987.9~1989.12)
    - 美 시라큐즈대학교 경제학 박사(1987.9~1991.12)

□ 경력
    - 2022.08 ~              제21대 후반기 국회 기획재정위원회 간사
    - 2022.07 ~              국회 민생경제안정특별위원회 위원장  
    - 2022.06 ~              국민의힘 물가 및 민생안정특별위원회 위원장
    - 2022.02 ~ 2022.05   제21대 국회 전반기 예산결산특별위원회 간사
    - 2021.12 ~ 2022.03   국민의힘 제20대 대통령선거
                                 대구선거대책위원회 공동선거대책위원장
                                 중앙선거대책위원회 나라살림혁신위원회 위원장
    - 2021.10 ~ 2022.05   제21대 국회 전반기 예산결산특별위원회 위원
    - 2021.06 ~ 2022.05   국민의힘 정책위원회 부의장  
    - 2020.11 ~ 2021.04   국민의힘 4.7 재보궐선거 공약개발단 민생경제팀장
    - 2020.09 ~ 2021.06   국민의힘  정책위원회 제1정책조정위원장
    - 2020.08 ~ 2022.05   제21대 국회 전반기 기획재정위원회 경제재정소위원회 위원장
    - 2020.07 ~ 2022.05   제21대 국회 전반기 기획재정위원회 위원, 간사
    - 2020.06 ~              미래통합당 대구 동구갑 당원협의회 운영위원장
    - 2020.05 ~              제21대 국회의원 (대구 동구갑/미래통합당)
    - 2016.03 ~ 2016.05   제19대 국회의원 (대구 동구갑/무소속)
    - 2015.09                 새누리당 대구광역시당 위원장
    - 2015.08                 제19대 국회 공적연금 강화와 노후빈곤 해소를 위한 특별위원회 위원
    - 2015.08                 새누리당 정책위원회 민생119본부 부본부장
    - 2014.0 1                새누리당&lsquo;중소기업&middot;소상공인특별위원회&rsquo;위원
    - 2013.06                 새누리당 정책위 기획재정 정책조정위원회 부위원장
    - 2013.04 ~ 2013.09   국회 예산&middot;재정개혁특별위원회 위원
    - 2013.01 ~ 2013.02   제18대 대통령직 인수위원회 경제1분과 간사
    - 2012.09 ~ 2012.11   국회 아동&middot;여성대상 성폭력 대책특별위원회 위원
    - 2012.07 ~ 2016.05   제19대 국회 기획재정위원회 위원, 조세소위원회 위원
    - 2012.07 ~ 2014.05   제19대 국회 예산결산특별위원회 위원 예산안 등 조정소위원회 위원
    - 2012.05 ~ 2016.03   제19대 국회의원 (대구 동구갑/새누리당)
    - 2011.04                 국제과학비즈니스벨트위원회 당연직 위원
    - 2010.08 ~ 2012.02   기획재정부 제2차관
                               기획재정부 예산실 실장
                               기획재정부 예산총괄심의관
                               기획예산처 공공정책관
                               기획예산처 균형발전재정기획관
                               국민경제자문회의 대외산업실 실장
                               기획예산처 과학환경예산과 과장
                               제23회 행정고시 합격

□ 상훈
    홍조근정훈장, 황조근정훈장",YOO SUNGKULL,남,7847142@naver.com,8VY63414,"심영재, 남욱현, 손동한, 이환희, 황지원",간사,"손정갑, 조호현",https://blog.naver.com/sungkull,"민생경제안정특별위원회, 기획재정위원회","송시영, 조희창",대구 동구갑,"제19대, 제21대"
02-784-9740,음,의원회관 513호,柳好貞,류호정,1992-08-09,비례대표,정의당,초선,문화체육관광위원회,"1992년 8월 9일 생
이화여자대학교 사회학과 졸업

[경력]
(현) 정의당 원내대변인
(현) 제21대 국회 문화체육관광위원회 위원

(전) 제21대 국회 산업통상자원중소벤처기업위원회 위원
(전) 민주노총 화섬식품노조 선전홍보부장
(전) 스마일게이트 메가포트 마케팅실 대리",RYU HOJEONG,여,help@ryuhojeong.com,NCP9875N,"김보경, 임동준, 손예지, 예윤해, 강예진",위원,"염종운, 황윤영",http://ryuhojeong.com,문화체육관광위원회,"이지은, 최강연",비례대표,제21대
"02-784-6181, 032-466-9100",음,의원회관 926호,孟聖奎,맹성규,1962-04-05,지역구,더불어민주당,재선,"국토교통위원회, 정치개혁특별위원회","<주요경력>

2022.07.~  제21대 국회 후반기 국토교통위원회 위원
2022.07.~  제21대 국회 후반기 정치개혁특별위원회 위원               
2021.07.~ 제21대 국회 전반기 예산결산특별위원회 간사
2021.02.   더불어민주당 수석사무부총장
2020.09 ~더불어민주당 예산결산위원회 위원장
2020.06.~제21대 국회 전반기 농림축산식품해양수산위원회 위원
2020.05.~제21대 국회의원(인천 남동구갑)
2019.10.~더불어민주당 사회복지특별위원회위원장
2019.08.~ 제20대 국회 예결산특별위원회 위원 
2019.08.~ 제20대 국회 운영위원회 위원
2019. 5.~ 더불어민주당 원내부대표
2018.10.~ 더불어민주당 정책위원회 상임부의장
2018. 7.~  제20대 국회후반기 보건복지위원회 위원
2018. 6.~  제20대 국회의원(인천 남동구갑)
2017. 6.~&rsquo;18. 4.  문재인정부 국토교통부 제2차관
2015. 7.~&rsquo;17. 4.  제14대 강원도 경제부지사   
2010. 2.    주중국대한민국대사관 공사참사관  
2006. 4.    참여정부 청와대 민정수석실 행정관  
1988. 4.    제31회 행정고시

<학력사항>
한국항공대학교 대학원 법학박사
캐나다 맥길대학교 대학원 법학석사
서울대학교 대학원 행정학 석사
고려대학교 행정학 학사
부평고등학교 졸업",MAENG SUNGKYU,남,minjoomsk@naver.com,FJK3396E,"남민경, 송지영, 이충기, 김태수, 김성혜",위원,"박인동, 신지혜",https://blog.naver.com/minjoo_maeng,"국토교통위원회, 정치개혁특별위원회","윤무영, 이귀성",인천 남동구갑,"제20대, 제21대"
02-784-9850,음,의원회관 521호,文貞福,문정복,1967-01-10,지역구,더불어민주당,초선,"교육위원회, 정치개혁특별위원회","○ 학력
- 이화여자대학교 정책과학대학원 석사졸업

○ 경력
- 전) 제6.7대 시흥시의회 의원 
- 전) 사람사는세상 노무현재단 기획위원 
- 전) 문재인대통령 비서실 선임행정관
- 전) 더불어민주당 원내부대표
- 전) 21대 전반기 국토교통위원회 위원
- 전) 21대 전반기 예산결산특별위원회 위원
- 현) 21대 국회의원
- 현) 더불어민주당 경기도당 시흥시갑 지역위원장
- 현) 국회 교육위원회 위원
- 현) 정치개혁특별위원회 위원
",MOON JEONGBOG,여,indobangrang@hanmail.net,GOC54665,"김리휘, 양윤정, 김윤환, 이지아, 이민주",위원,"신희성, 정동황",https://blog.naver.com/indobangrang,"교육위원회, 정치개혁특별위원회","백정균, 홍헌영",경기 시흥시갑,제21대
02-784-9030,양,의원회관 640호,文振碩,문진석,1962-02-12,지역구,더불어민주당,초선,"예산결산특별위원회, 행정안전위원회","○학력
1991년 중앙대 정치외교학과 졸업
2010년 고려대학교 정책대학원 석사 졸업
2018년 서울과학기술대학교 에너지환경대학원 박사과정 수료

○경력
- 21대 국회 충남 천안시갑 국회의원(더불어민주당)
- 현) 더불어민주당 원내부대표
- 현) 더불어민주당 을지로위원회 위원
- 현) 사단법인 유관순열사기념사업회 고문
- 전) 더불어민주당 코로나19 국난극복위원회 위원
- 전) 국회상임위원회 위원 정수에 관한 규칙 개정 특별위원회
- 전) 사단법인 유관순열사기념사업회 부회장
- 전) 단국대학교 초빙교수
- 전) 대통령직속 국가균형발전위원회 국민소통특별위원
- 전) 행정안전부 지방자치단체 합동평가위원
- 전) 양승조 충남도지사 비서실장
- 전) 2017년 문재인 대통령후보 선거대책위 남평포럼 사무총장
- 전) 2012년 문재인 대통령후보 선거대책본부 충남시민캠프 대표",MOON JINSEOG,남,jmoon123@naver.com,4U29186R,"정근수, 이선민, 황신우, 김여진, 한나",위원,"김도형, 유명식",https://blog.naver.com/jmoon123,"예산결산특별위원회, 행정안전위원회","임준영, 한세효",충남 천안시갑,제21대
02-784-9540,음,의원회관 927호,閔炳德,민병덕,1970-12-20,지역구,더불어민주당,초선,"예산결산특별위원회, 정무위원회","-     현       직     -

21대 더불어민주당 안양시동안구갑 국회의원 

더불어민주당 경기도당 수석대변인

더불어민주당 을지로위원회 상임위원

제21대 국회 전반기 정무위원회 위원


-     경       력     -

(前)더불어민주당 검찰공정수사촉구특별위원회위원 

(前)국가균형발전위원회 국민소통 특별위원

(前)더불어민주당 을지로위원회 부위원장

(前)더불어민주당 중앙당선거관리위원회 위원

(前)2011년, 2014년 박원순 서울시장후보 법률지원단장 

(前)서울특별시의회 입법 법률 고문

(前)안양 부안초등학교 운영위원장

(前)민주사회를위한변호사모임 민생경제위 간사

(前)서울시 도시주택분과 정책자문위원

(前)대한변호사협회 재개발·재건축 법률지원변호사

(前)법무법인 &#039민본&#039 대표 변호사

사법연수원 34기 

전남 해남출생(1970년), 서울대 정치학과 졸업 ",MIN BYOUNGDUG,남,anyangmin@gmail.com,TZ228122,"정광식, 전영규, 한지영, 이민재, 박미루",위원,"김대경, 이재호",https://blog.naver.com/anyangmin,"예산결산특별위원회, 정무위원회","김병섭, 배장원",경기 안양시동안구갑,제21대
02-6788-6426,음,의원회관 534호,閔馨培,민형배,1961-06-15,지역구,무소속,초선,교육위원회,"■ 학력
-목포고 졸업
-전남대학교 사회학 박사

■ 주요경력
(현) 제21대 국회의원(광주 광산구을)
(현) 국회 법제사법위원회 위원
(현) 국회 운영위원회 위원

(전) 더불어민주당 광주 광산구을 지역위원장 
(전) 더불어민주당 사회적경제위원회 위원장
(전) 더불어민주당 탄소중립특별위원회 위원
(전) 더불어민주당 미디어혁신특별위원회 위원
(전) 더불어민주당 을지로위원회 위원 
(전) 더불어민주당 산업재해예방TF 위원  

(전) 문재인 대통령 사회정책비서관
(전) 문재인 대통령 자치발전비서관
(전) 광주광역시 광산구청장 
(전) 노무현 대통령 사회조정비서관

■ 저서
-2019. 정치의 반전을 꿈꾸다 (메디치미디어)
-2017. 광주의 권력 (단비P&amp;B)
-2015. 내일의 권력 (단비P&amp;B)
-2013. 자치가 진보다 (메디치미디어)

■ 좌우명
-화이부동 (和而不同)
",MIN HYUNGBAE,남,mhb1961@naver.com,VRY5522V,"정호윤, 양경민, 이창우, 김단야, 송건주",위원,"김지성, 박수미",https://blog.naver.com/gjminsim,교육위원회,"강연주, 송지현",광주 광산구을,제21대
