음/양력,한자명,이름,생년월일,선거구구분,재선,정당명,영문명칭,대별코드,성별,대,국회의원코드,당선,선거구
음,閔丙權,민병권,1918-09-27,지역구,4선,민주공화당,,100006,남,제6대,NBP98519,"제6대, 제7대, 제8대, 제9대","경남 함양,거창군"
음,閔丙棋,민병기,1901-04-23,전국구,초선,민주공화당,,100006,남,제6대,IBC2672Y,제6대,
음,閔永南,민영남,1907-07-03,지역구,재선,자유민주당,,100006,남,제6대,ME56811B,"제3대, 제6대",전남 해남군
음,朴奎祥,박규상,1924-11-01,전국구,초선,민주공화당,,100006,남,제6대,4TM4500S,제6대,
음,朴三俊,박삼준,1918-07-18,전국구,초선,민정당,,100006,남,제6대,ANU4865X,제6대,
음,朴順天,박순천,1898-09-10,지역구,5선,민주당,,100006,여,제6대,9PW85797,"제2대, 제4대, 제5대, 제6대, 제7대",서울 마포구
음,朴升圭,박승규,1921-05-20,지역구,초선,민주공화당,,100006,남,제6대,V622444H,제6대,"전남 담양,장성군"
음,朴永祿,박영록,1922-03-25,지역구,4선,민주당,,100006,남,제6대,59H12309,"제6대, 제7대, 제9대, 제10대",강원 원주시원성군
음,朴鍾泰,박종태,1920-02-19,지역구,3선,민주공화당,Park Jong-tae,100006,남,제6대,TT897193,"제6대, 제7대, 제13대",전남 광산
음,朴浚圭,박준규,1925-09-12,지역구,9선,민주공화당,"Park, Jyun-kyu",100006,남,제6대,QHJ1904L,"제5대, 제6대, 제7대, 제8대, 제9대, 제10대, 제13대, 제14대, 제15대",서울 성동구을
음,朴重漢,박중한,1895-07-05,전국구,초선,신민당,,100006,남,제6대,D9L33040,제6대,
음,朴瓚,박찬,1924-07-16,지역구,3선,민정당,,100006,남,제6대,VJ78615I,"제6대, 제9대, 제10대",충남 공주
음,朴漢相,박한상,1922-04-25,지역구,6선,민정당,"Park, Han-sang",100006,남,제6대,D4D6998Z,"제6대, 제7대, 제8대, 제9대, 제10대, 제12대",서울 영등포구을
음,朴賢淑,박현숙,1896-10-17,전국구,재선,민주공화당,,100006,여,제6대,1PM2680D,"제4대, 제6대",
음,方性出,방성출,1924-10-04,지역구,초선,민주공화당,,100006,남,제6대,ZM05883H,제6대,"경남 의령,함안군"
음,方一弘,방일홍,1933-03-01,전국구,초선,민정당,,100006,남,제6대,2688009X,제6대,
음,裵吉道,배길도,1922-03-23,지역구,재선,민주공화당,,100006,남,제6대,TS39783Y,"제6대, 제7대",전남 무안
음,百南檍,백남억,1914-11-11,지역구,5선,민주공화당,,100006,남,제6대,TNS31153,"제5대, 제6대, 제7대, 제8대, 제9대",경북 김천시금릉
음,卞鍾捧,변종봉,1919-01-22,지역구,초선,민주공화당,,100006,남,제6대,8GA31641,제6대,"경남 산청,합천군"
음,徐珉濠,서민호,1903-04-27,지역구,4선,자유민주당,,100006,남,제6대,1TA8481U,"제2대, 제5대, 제6대, 제7대",서울 용산구
음,徐範錫,서범석,1902-10-19,지역구,6선,민정당,,100006,남,제6대,XWY90381,"제2대, 제4대, 제5대, 제6대, 제7대, 제8대",서울 성북구을
음,徐相燐,서상린,1925-08-16,지역구,5선,민주공화당,,100006,남,제6대,JGC5964P,"제6대, 제7대, 제8대, 제9대, 제10대","경기 용인,안성"
음,徐仁錫,서인석,1926-01-01,전국구,재선,민주공화당,,100006,남,제6대,Q691796X,"제6대, 제9대",
음,蘇宣奎,소선규,1903-11-30,전국구,4선,자유민주당,,100006,남,제6대,WYS77814,"제2대, 제3대, 제5대, 제6대",
음,孫昌奎,손창규,1926-08-26,전국구,초선,자유민주당,,100006,남,제6대,9RI7216Q,제6대,
음,宋寬洙,송관수,1907-01-12,지역구,재선,민주공화당,,100006,남,제6대,JWG5063I,"제5대, 제6대","경북 대구시,중구"
음,宋漢喆,송한철,1929-03-14,지역구,재선,민주공화당,,100006,남,제6대,WSH8502Q,"제6대, 제7대","경북 성주,칠곡군"
음,申灌雨,신관우,1926-03-20,지역구,초선,민주공화당,,100006,남,제6대,Y794261C,제6대,충북 청원군
음,辛泳柱,신영주,1916-10-02,지역구,재선,민주공화당,,100006,남,제6대,J1D5637T,"제4대, 제6대",경남 창녕
음,申玉澈,신옥철,1908-10-19,지역구,초선,민주공화당,,100006,남,제6대,DDF1102W,제6대,"강원 춘천,춘성"
음,申允昌,신윤창,1926-02-18,전국구,재선,민주공화당,,100006,남,제6대,M5Q11399,"제6대, 제7대",
음,申仁雨,신인우,1914-04-16,지역구,재선,민중당,,100006,남,제6대,4CA6285C,"제5대, 제6대",서울 중구
음,申河均,신하균,1918-09-02,지역구,3선,민정당,,100006,남,제6대,BCA49185,"제3대, 제5대, 제6대","경기 광주,이천"
음,申泂植,신형식,1926-10-09,지역구,4선,민주공화당,,100006,남,제6대,4BC2508K,"제6대, 제8대, 제9대, 제10대",전남 고흥
음,安東濬,안동준,1919-05-15,지역구,4선,민주공화당,,100006,남,제6대,C6F2967H,"제3대, 제5대, 제6대, 제7대",충북 괴산군
음,梁剋弼,양극필,1925-09-15,지역구,초선,민주공화당,,100006,남,제6대,JLH4180W,제6대,경남 동래
음,楊淳稙,양순직,1925-05-11,지역구,3선,민주공화당,Yang Soon-jik,100006,남,제6대,ZQO33825,"제6대, 제7대, 제14대",충남 논산
음,梁會璲,양회수,1922-03-07,지역구,재선,민정당,,100006,남,제6대,93D9038H,"제6대, 제7대","전남 곡성,화순군"
음,嚴廷柱,엄정주,1920-04-28,지역구,초선,민주공화당,,100006,남,제6대,QDG4445P,제6대,"강원 영월,정선군"
음,芮春浩,예춘호,1928-02-07,지역구,3선,민주공화당,,100006,남,제6대,7WM8289J,"제6대, 제7대, 제10대",부산 영도구
음,吳相稙,오상직,1925-04-18,지역구,재선,민주공화당,,100006,남,제6대,16R8959D,"제5대, 제6대",경북 의성
음,吳致成,오치성,1926-02-07,전국구,4선,민주공화당,,100006,남,제6대,A3M1546A,"제6대, 제7대, 제8대, 제10대",
음,吳學鎭,오학진,1928-01-04,전국구,4선,민주공화당,,100006,남,제6대,M584072W,"제6대, 제7대, 제8대, 제9대",
음,玉朝南,옥조남,1918-02-16,지역구,초선,민주공화당,,100006,남,제6대,K206472E,제6대,"경기 시흥,부천,옹진군"
음,禹甲麟,우갑린,1909-02-21,전국구,초선,신민당,,100006,남,제6대,WRD84532,제6대,
음,柳光鉉,유광현,1927-08-14,지역구,재선,민주공화당,,100006,남,제6대,I0M2449K,"제6대, 제7대",전북 남원
음,劉聖權,유성권,1915-04-11,지역구,3선,민주당,,100006,남,제6대,8941463K,"제4대, 제5대, 제6대",서울 성동구갑
음,劉守鉉,유수현,1915-01-30,지역구,초선,정민회,,100006,남,제6대,T856148T,제6대,전남 광주시갑
음,柳承源,유승원,1921-06-25,지역구,4선,민주공화당,,100006,남,제6대,4QG8322V,"제6대, 제8대, 제9대, 제10대",경기 인천시갑
음,柳珍山,유진산,1905-10-18,전국구,7선,민정당,,100006,남,제6대,T7T8359U,"제3대, 제4대, 제5대, 제6대, 제7대, 제8대, 제9대",
음,柳昌烈,유창열,1914-12-03,전국구,초선,민주당,,100006,남,제6대,NQY2893P,제6대,
음,柳靑,유청,1919-03-13,지역구,4선,민정당,,100006,남,제6대,MT56949U,"제4대, 제5대, 제6대, 제8대",전북 전주
음,柳致松,유치송,1924-10-07,지역구,5선,민정당,"Yoo, Chi-song",100006,남,제6대,1OF99975,"제6대, 제9대, 제10대, 제11대, 제12대",경기 평택군
음,陸寅修,육인수,1919-12-03,지역구,5선,민주공화당,,100006,남,제6대,VKN9171V,"제6대, 제7대, 제8대, 제9대, 제10대","충북 보은,옥천군"
음,尹潽善,윤보선,1897-08-26,전국구,4선,민정당,,100006,남,제6대,01B9062T,"제3대, 제4대, 제5대, 제6대",
음,尹濟述,윤제술,1904-01-29,지역구,6선,민정당,,100006,남,제6대,J2O5434U,"제3대, 제4대, 제5대, 제6대, 제7대, 제8대",서울 서대문구을
음,李南俊,이남준,1919-02-15,지역구,재선,민주공화당,,100006,남,제6대,2FQ58160,"제6대, 제7대",전남 진도군
음,李暾海,이돈해,1916-06-25,지역구,초선,민주공화당,,100006,남,제6대,YG94643C,제6대,"경기 김포,강화"
음,李東寧,이동녕,1905-01-21,지역구,3선,민주공화당,,100006,남,제6대,MFB7723Q,"제4대, 제6대, 제7대",경북 문경시
음,李東鎭,이동진,1931-10-09,지역구,3선,민주공화당,"Lee, Dong-jin",100006,남,제6대,2081986U,"제6대, 제11대, 제13대",충북 영동군
음,李萬燮,이만섭,1932-02-25,전국구,8선,민주공화당,"Lee, Man-sup",100006,남,제6대,IYC3468T,"제6대, 제7대, 제10대, 제11대, 제12대, 제14대, 제15대, 제16대",
음,李白日,이백일,1921-03-09,지역구,재선,민주공화당,,100006,남,제6대,WMP4503Z,"제6대, 제7대","경기 여주,양평군"
음,李炳玉,이병옥,1927-04-17,지역구,4선,민주공화당,,100006,남,제6대,U4Z83433,"제6대, 제6대, 제7대, 제8대, 제9대",전북 부안군
음,李秉禧,이병희,1926-08-01,지역구,7선,민주공화당,"Lee, Byoung-heui",100006,남,제6대,9VF7142D,"제6대, 제7대, 제8대, 제9대, 제10대, 제13대, 제15대",경기 수원
음,李相敦,이상돈,1912-03-20,지역구,3선,민정당,,100006,남,제6대,ZNS6961Q,"제헌, 제5대, 제6대","충남 천안,천원군"
음,李相武,이상무,1919-09-29,지역구,재선,민주공화당,,100006,남,제6대,71X80031,"제6대, 제7대","경북 경주,월성군"
음,李相喆,이상철,1893-01-10,지역구,3선,국민의당,,100006,남,제6대,V478504T,"제2대, 제5대, 제6대","충남 청양,홍성군"
음,李相禧,이상희,1923-01-01,지역구,재선,민주공화당,,100006,남,제6대,OZD1470G,"제6대, 제7대",충남 서산
음,李承春,이승춘,1914-05-01,지역구,재선,민주공화당,,100006,남,제6대,33E7076V,"제6대, 제7대","강원 홍천,인제군"
음,李榮俊,이영준,1896-09-17,지역구,4선,민정당,,100006,남,제6대,S326239W,"제헌, 제4대, 제5대, 제6대",서울 동대문구을
음,李寧鎭,이영진,1908-08-07,지역구,초선,민주공화당,,100006,남,제6대,AP02342T,제6대,충남 아산
음,李遇兌,이우태,1922-11-25,전국구,초선,민중당,,100006,남,제6대,02G3199K,제6대,
음,李于憲,이우헌,1902-09-27,지역구,재선,민주공화당,,100006,남,제6대,H446831O,"제6대, 제7대","전남 여수시,여천군"
음,李原万,이원만,1904-09-07,지역구,3선,민주공화당,,100006,남,제6대,8QN2498E,"제5대, 제6대, 제7대","경북 대구시,동구"
음,李原弘,이원홍,1903-03-09,전국구,재선,신민당,,100006,남,제6대,6O61738R,"제헌, 제6대",
음,李在晩,이재만,1923-11-24,지역구,초선,민주공화당,,100006,남,제6대,4YY13241,제6대,경남 밀양
음,李晶來,이정래,1899-05-07,지역구,3선,민정당,,100006,남,제6대,1C853454,"제헌, 제5대, 제6대",전남 보성군
음,李鍾極,이종극,1907-11-09,전국구,초선,민주공화당,,100006,남,제6대,6MO9040Z,제6대,
음,李鐘根,이종근,1923-10-22,전국구,6선,민주공화당,Lee Jong-keun,100006,남,제6대,DCY93694,"제6대, 제7대, 제9대, 제10대, 제13대, 제14대",
음,李鍾諄,이종순,1906-01-27,지역구,초선,민주공화당,,100006,남,제6대,GAW4142V,제6대,부산 동구
음,李重載,이중재,1925-01-20,전국구,6선,민정당,"Lee, Choong-jae",100006,남,제6대,TN53355N,"제6대, 제7대, 제8대, 제9대, 제12대, 제15대",
음,李忠煥,이충환,1917-09-13,지역구,6선,민정당,,100006,남,제6대,ZXL9063Y,"제2대, 제3대, 제5대, 제6대, 제9대, 제10대","충북 진천,음성군"
음,李泰鎔,이태용,1909-03-16,전국구,4선,민중당,,100006,남,제6대,E0N2954V,"제3대, 제4대, 제5대, 제6대",
음,李活,이활,1899-09-08,지역구,초선,민주공화당,,100006,남,제6대,57O8885T,제6대,경북 영천
음,李孝祥,이효상,1906-01-14,지역구,5선,민주공화당,,100006,남,제6대,2B247480,"제5대, 제6대, 제7대, 제9대, 제10대","경북 대구시,남구"
음,李喜承,이희승,1913-10-11,지역구,초선,자유민주당,,100006,남,제6대,K5A8588U,제6대,충북 충주시중원
음,印泰植,인태식,1902-12-17,지역구,3선,민주공화당,,100006,남,제6대,3MF9619J,"제3대, 제4대, 제6대",충남 당진
음,任炳洙,임병수,1918-03-15,지역구,초선,민주공화당,,100006,남,제6대,ZIL6794T,제6대,"제주 제주,북제주군"
음,林次周,임차주,1918-08-05,전국구,3선,민중당,,100006,남,제6대,4UE4157N,"제3대, 제4대, 제6대",
음,張坰淳,장경순,1922-03-23,지역구,5선,민주공화당,,100006,남,제6대,2OJ1050R,"제6대, 제7대, 제8대, 제9대, 제10대",전북 김제
음,張致勳,장치훈,1910-01-15,전국구,초선,민주당,,100006,남,제6대,95A15686,제6대,
음,錢鎭漢,전진한,1901-11-05,지역구,5선,민정당,,100006,남,제6대,WGG9113S,"제헌, 제2대, 제3대, 제5대, 제6대",서울 종로구
음,全烋相,전휴상,1934-01-10,지역구,4선,민주공화당,,100006,남,제6대,O9P4549S,"제5대, 제6대, 제7대, 제8대","전북 진안,무주,장수"
음,鄭求瑛,정구영,1894-05-14,전국구,재선,민주공화당,,100006,남,제6대,U9942857,"제6대, 제7대",
음,丁來正,정래정,1923-04-09,지역구,재선,민주공화당,,100006,남,제6대,CXO2156G,"제6대, 제7대",전남 광주을 
음,丁明燮,정명섭,1910-02-12,지역구,3선,자유민주당,,100006,남,제6대,Z457542X,"제3대, 제4대, 제6대",전남 나주
음,鄭成太,정성태,1915-07-28,지역구,6선,민정당,,100006,남,제6대,3ZY8842T,"제3대, 제4대, 제5대, 제6대, 제7대, 제8대",전남 광주갑
음,鄭雲近,정운근,1907-07-22,전국구,초선,민정당,,100006,남,제6대,R093697J,제6대,
음,鄭一亨,정일형,1904-02-23,지역구,8선,민주당,,100006,남,제6대,Q699375L,"제2대, 제3대, 제4대, 제5대, 제6대, 제7대, 제8대, 제9대",서울 중구
음,鄭鎭東,정진동,1910-03-25,지역구,재선,민주공화당,,100006,남,제6대,WEX28089,"제6대, 제7대",경북 예천군
음,鄭泰成,정태성,1926-12-23,지역구,재선,민주공화당,,100006,남,제6대,8TF6180R,"제6대, 제7대",충북 청주
음,鄭海永,정해영,1915-09-19,전국구,7선,민정당,,100006,남,제6대,35G1176L,"제3대, 제5대, 제6대, 제7대, 제8대, 제9대, 제10대",
음,鄭憲祚,정헌조,1919-08-10,지역구,재선,민주공화당,,100006,남,제6대,VXE7857Z,"제2대, 제6대","전남 함평,영광군"
음,趙擎韓,조경한,1900-07-13,지역구,초선,민주공화당,,100006,남,제6대,V3Y4027M,제6대,"전남 순천시,승주군"
음,趙南哲,조남철,1923-05-08,전국구,초선,민주공화당,,100006,남,제6대,1L75529M,제6대,
음,趙始衡,조시형,1927-04-13,지역구,초선,민주공화당,,100006,남,제6대,9ER78348,제6대,부산 중구
음,趙尹衡,조윤형,1932-11-26,지역구,6선,민정당,Chough Yoon-hyung,100006,남,제6대,BPU25498,"제5대, 제6대, 제7대, 제8대, 제13대, 제14대",서울 성북구갑
음,曹在千,조재천,1912-11-19,전국구,4선,민주당,,100006,남,제6대,1AT5639X,"제3대, 제4대, 제5대, 제6대",
음,曺昌大,조창대,1928-07-22,전국구,재선,민주공화당,,100006,남,제6대,ZJB3211N,"제6대, 제7대",
음,陳基培,진기배,1921-08-01,지역구,초선,민정당,,100006,남,제6대,C354091P,제6대,"경북 영양,울진군"
음,陳馨夏,진형하,1907-03-11,지역구,3선,민정당,,100006,남,제6대,C5E1016K,"제4대, 제5대, 제6대",충남 대전
음,車智澈,차지철,1934-11-06,전국구,4선,민주공화당,,100006,남,제6대,D2H3317X,"제6대, 제7대, 제8대, 제9대",
음,崔斗高,최두고,1921-10-20,지역구,재선,민주공화당,,100006,남,제6대,HDI20908,"제6대, 제7대",부산 진구을
음,崔瑞日,최서일,1906-09-27,지역구,초선,민주공화당,,100006,남,제6대,98V59336,제6대,전남 완도
음,崔奭林,최석림,1922-10-05,지역구,4선,민주공화당,,100006,남,제6대,HFQ1835Y,"제4대, 제5대, 제6대, 제7대, 제7대","경남 충무,통영,고성군"
음,催守龍,최수룡,1921-03-11,지역구,초선,민정당,,100006,남,제6대,QNN54052,제6대,"경남 진해,창원시"
음,崔泳謹,최영근,1922-04-24,지역구,3선,민주당,Choi Yeoung-kun,100006,남,제6대,2RB25984,"제5대, 제6대, 제13대",경남 울산시울주구
음,崔永斗,최영두,1923-03-15,지역구,초선,민주공화당,,100006,남,제6대,H6251808,제6대,전북 완주
음,崔貞基,최정기,1913-04-20,전국구,초선,민주공화당,,100006,남,제6대,XDJ1378K,제6대,
음,崔致煥,최치환,1923-10-22,지역구,5선,민주공화당,"Choi, Chi-whan",100006,남,제6대,55Q77773,"제5대, 제6대, 제7대, 제10대, 제12대",경남 남해군
음,崔熙松,최희송,1894-05-10,전국구,4선,민주당,,100006,남,제6대,KFJ9834X,"제4대, 제5대, 제6대, 제7대",
음,韓建洙,한건수,1921-08-10,지역구,4선,국민의당,,100006,남,제6대,ZDR33316,"제6대, 제8대, 제9대, 제10대",충남 예산군
음,韓根祖,한근조,1895-07-19,전국구,3선,민중당,,100006,남,제6대,V9C9847B,"제4대, 제5대, 제6대",
음,韓相駿,한상준,1921-08-25,지역구,3선,민주공화당,,100006,남,제6대,Z7864733,"제5대, 제6대, 제7대","전북 임실군,순창군"
음,韓泰淵,한태연,1916-01-05,전국구,3선,민주공화당,,100006,남,제6대,RU086118,"제6대, 제9대, 제10대",
음,韓通淑,한통숙,1906-04-14,지역구,3선,민주당,,100006,남,제6대,3HV2016Y,"제5대, 제6대, 제7대",서울 영등포구갑
음,咸德用,함덕용,1904-11-23,전국구,초선,민정당,,100006,남,제6대,3W060175,제6대,
음,玄梧鳳,현오봉,1923-03-26,지역구,6선,민주공화당,,100006,남,제6대,O6K5681N,"제4대, 제6대, 제7대, 제8대, 제9대, 제10대",제주 남제주군
음,洪英基,홍영기,1918-12-03,지역구,5선,민중당,Hong Young-kee,100006,남,제6대,9U97658K,"제5대, 제6대, 제8대, 제13대, 제14대",서울 서대문구을
음,洪翼杓,홍익표,1910-01-24,지역구,6선,민주당,,100006,남,제6대,3AA37867,"제헌, 제2대, 제4대, 제5대, 제6대, 제8대","경기 연천,포천,가평군"
음,黃仁元,황인원,1920-09-13,지역구,재선,민정당,,100006,남,제6대,WEP8494X,"제5대, 제6대","경기 파주,고양군"
음,黃虎鉉,황호현,1911-03-22,지역구,3선,민주공화당,,100006,남,제6대,4IR7382A,"제헌, 제4대, 제6대","강원 횡성,평창군"
음,高在珌,고재필,1913-04-20,지역구,4선,민주공화당,,100007,남,제7대,9RI3096S,"제7대, 제8대, 제9대, 제10대","전남 담양,장성군"
음,高興門,고흥문,1921-08-05,전국구,5선,신민당,,100007,남,제7대,EYV9357U,"제6대, 제7대, 제8대, 제9대, 제10대",
음,孔正植,공정식,1925-09-03,지역구,초선,민주공화당,,100007,남,제7대,YO04151N,제7대,경남 밀양
음,具泰會,구태회,1923-06-24,지역구,6선,민주공화당,,100007,남,제7대,S903593H,"제4대, 제6대, 제7대, 제8대, 제9대, 제10대","경남 진주,진양"
음,奇世豊,기세풍,1916-07-26,지역구,초선,민주공화당,,100007,남,제7대,6L28933S,제7대,"전남 곡성,화순군"
음,吉在號,길재호,1923-04-15,지역구,3선,민주공화당,,100007,남,제7대,0A04065B,"제6대, 제7대, 제8대",충남 금산군
음,吉典植,길전식,1924-10-27,지역구,5선,민주공화당,,100007,남,제7대,WFD5707I,"제6대, 제7대, 제8대, 제9대, 제10대",전남 장흥군
음,金圭南,김규남,1929-07-15,전국구,초선,민주공화당,,100007,남,제7대,QM315818,제7대,
음,金達洙,김달수,1917-12-08,지역구,재선,민주공화당,,100007,남,제7대,ST04308D,"제3대, 제7대",충남 공주
음,金大中,김대중,1925-12-03,지역구,6선,신민당,"Kim, Dae-jung",100007,남,제7대,0WP29701,"제5대, 제6대, 제7대, 제8대, 제13대, 제14대",전남 목포
음,金大鎭,김대진,1917-12-05,지역구,초선,민주공화당,,100007,남,제7대,GMI2251T,제7대,경북 안동
음,金度演,김도연,1894-06-16,전국구,6선,신민당,,100007,남,제7대,02E7012K,"제헌, 제3대, 제4대, 제5대, 제6대, 제7대",
음,金東煥,김동환,1927-02-20,전국구,재선,민주공화당,,100007,남,제7대,59Y79201,"제6대, 제7대",
음,金斗鉉,김두현,1926-09-25,지역구,초선,민주공화당,,100007,남,제7대,YNG7812L,제7대,충남 당진
음,金柄淳,김병순,1910-03-26,지역구,4선,민주공화당,,100007,남,제7대,9HG7146S,"제3대, 제4대, 제6대, 제7대",전남 해남
음,金鳳煥,김봉환,1921-01-02,지역구,4선,민주공화당,,100007,남,제7대,ATK8082V,"제6대, 제7대, 제8대, 제9대","경북 군위,선산"
음,金三祥,김삼상,1921-04-15,지역구,초선,민주공화당,,100007,남,제7대,M7P6011X,제7대,"경남 산청,합천군"
음,金相賢,김상현,1935-12-06,전국구,6선,신민당,"Kim, Song-hyum",100007,남,제7대,JJ64316E,"제6대, 제7대, 제8대, 제14대, 제15대, 제16대",
음,金成坤,김성곤,1913-07-14,지역구,4선,민주공화당,,100007,남,제7대,FCE8204Q,"제4대, 제6대, 제7대, 제8대","경북 달성,고령군"
음,金星鏞,김성용,1918-01-09,전국구,3선,신민당,,100007,남,제7대,FUS8484L,"제6대, 제7대, 제9대",
음,金聲喆,김성철,1913-07-03,지역구,재선,민주공화당,,100007,남,제7대,JTW1054Z,"제6대, 제7대","전북 이리시,익산군"
음,金成熺,김성희,1920-05-12,전국구,초선,민주공화당,,100007,남,제7대,GVA4021K,제7대,
음,金洗榮,김세영,1920-01-05,전국구,재선,신민당,,100007,남,제7대,2B673556,"제5대, 제7대",
음,金守漢,김수한,1928-08-20,전국구,6선,신민당,"Kim, Soo-han",100007,남,제7대,ND28358S,"제7대, 제8대, 제9대, 제10대, 제12대, 제15대",
음,金永福,김영복,1932-07-19,전국구,초선,민주공화당,,100007,남,제7대,53Z1116Z,제7대,
음,金泳三,김영삼,1927-12-20,지역구,9선,신민당,"Kim, Young-sam",100007,남,제7대,PB86833Y,"제3대, 제5대, 제6대, 제7대, 제8대, 제9대, 제10대, 제13대, 제14대",부산 서구
음,金玉仙,김옥선,1834-04-02,지역구,3선,신민당,"Kim, Ok-sun",100007,여,제7대,BQI9725M,"제7대, 제9대, 제12대","충남 보령시,서천군"
음,金容珣,김용순,1927-04-15,지역구,재선,민주공화당,,100007,남,제7대,54K2140N,"제6대, 제7대","경남 사천,하동,삼천포"
음,金容鎭,김용진,1922-11-23,지역구,초선,민주공화당,,100007,남,제7대,OY15124H,제7대,전북 전주
음,金鎔采,김용채,1932-10-05,전국구,5선,민주공화당,"Kim, Yong-chae",100007,남,제7대,HT966869,"제7대, 제9대, 제12대, 제13대, 제14대",
음,金龍泰,김용태,1926-12-09,지역구,5선,민주공화당,,100007,남,제7대,BBS5382L,"제6대, 제7대, 제8대, 제9대, 제10대","충남 대덕,연기군"
음,金龍鎬,김용호,1920-12-16,전국구,4선,민주공화당,,100007,남,제7대,18B27173,"제7대, 제8대, 제9대, 제10대",
음,金遇敬,김우경,1931-05-19,지역구,재선,민주공화당,,100007,남,제7대,YVJ33772,"제6대, 제7대","전남 순천시,승주군"
음,金宇營,김우영,1921-03-13,지역구,초선,민주공화당,,100007,남,제7대,T1594364,제7대,"강원 춘천,춘성"
음,金元萬,김원만,1908-08-11,지역구,5선,신민당,,100007,남,제7대,6W47398I,"제4대, 제5대, 제7대, 제8대, 제9대",서울 용산구
음,金裕琸,김유탁,1925-05-19,전국구,4선,민주공화당,,100007,남,제7대,3RK7299O,"제7대, 제8대, 제9대, 제10대",
음,金裕澤,김유택,1911-04-10,지역구,초선,민주공화당,,100007,남,제7대,Z4J7464J,제7대,충북 제천시단양군
음,金殷夏,김은하,1923-07-24,지역구,6선,신민당,,100007,남,제7대,1VS9671T,"제6대, 제7대, 제8대, 제9대, 제10대, 제11대",경기 인천시을
음,金應柱,김응주,1910-10-16,지역구,4선,신민당,,100007,남,제7대,IAJ7601G,"제4대, 제5대, 제7대, 제8대",부산 중구
음,金益俊,김익준,1916-01-16,전국구,재선,민주공화당,,100007,남,제7대,3M79432H,"제7대, 제9대",
음,金長涉,김장섭,1910-08-17,지역구,4선,민주공화당,,100007,남,제7대,LBW3224V,"제4대, 제5대, 제6대, 제7대","경북 포항시,영일,울릉군"
음,金在光,김재광,1922-05-21,지역구,8선,신민당,"Kim, Jae-kwang",100007,남,제7대,DSL4089Q,"제6대, 제7대, 제8대, 제9대, 제10대, 제12대, 제13대, 제14대",서울 서대문구갑
음,金在紹,김재소,1916-01-09,지역구,초선,민주공화당,,100007,남,제7대,63S5844T,제7대,"경기 김포,강화"
음,金在淳,김재순,1923-11-30,지역구,7선,민주공화당,"Kim, Jai-son",100007,남,제7대,NPZ9074T,"제5대, 제6대, 제7대, 제8대, 제9대, 제13대, 제14대","강원 철원,화천,양구"
음,金正烈,김정열,1907-10-29,지역구,초선,신민당,,100007,남,제7대,X9D7144K,제7대,경기 인천갑
음,金貞烈,김정열,1917-09-29,전국구,초선,민주공화당,,100007,남,제7대,PRC8657T,제7대,
음,金鍾翊,김종익,1918-06-27,지역구,3선,민주공화당,,100007,남,제7대,G5G1465T,"제7대, 제8대, 제9대",충남 부여군
음,金種哲,김종철,1920-11-07,지역구,6선,민주공화당,"Kim, Chong-chul",100007,남,제7대,A3067041,"제4대, 제7대, 제8대, 제9대, 제10대, 제12대","충남 천안,천원군"
음,金鍾泌,김종필,1926-01-07,지역구,9선,민주공화당,"Kim, Jong-pil",100007,남,제7대,PAR7137B,"제6대, 제7대, 제8대, 제9대, 제10대, 제13대, 제14대, 제15대, 제16대",충남 부여군
음,金鍾浩,김종호,1919-06-09,지역구,재선,민주공화당,,100007,남,제7대,NK94811P,"제6대, 제7대","강원 속초시,고성,양양"
음,金周仁,김주인,1916-02-25,지역구,4선,민주공화당,,100007,남,제7대,OIP6203T,"제6대, 제7대, 제9대, 제10대",경남 거제
음,金振晩,김진만,1918-11-11,지역구,7선,민주공화당,,100007,남,제7대,4CS27498,"제3대, 제4대, 제6대, 제7대, 제8대, 제9대, 제10대",강원 삼척군
음,金昌槿,김창근,1930-10-22,지역구,4선,민주공화당,,100007,남,제7대,VX862398,"제6대, 제7대, 제8대, 제10대","경북 영주,봉화군"
음,金昌郁,김창욱,1926-01-17,지역구,초선,민주공화당,,100007,남,제7대,JAT8591P,제7대,"경남 의령,함안군"
음,金天洙,김천수,1920-09-04,지역구,초선,민주공화당,,100007,남,제7대,NT15824P,제7대,경북 상주
음,金澤壽,김택수,1926-09-10,지역구,3선,민주공화당,,100007,남,제7대,PED99438,"제6대, 제7대, 제10대",경남 김해
음,金顯基,김현기,1924-03-25,전국구,4선,신민당,,100007,남,제7대,4K22052J,"제7대, 제8대, 제9대, 제10대",
음,金炯一,김형일,1923-10-28,지역구,4선,신민당,,100007,남,제7대,PA35164W,"제6대, 제7대, 제8대, 제9대",경기 화성
음,金弘壹,김홍일,1898-09-23,지역구,재선,신민당,,100007,남,제7대,EBP5346U,"제7대, 제8대",서울 마포구
음,盧載弼,노재필,1916-02-15,지역구,재선,민주공화당,,100007,남,제7대,POA91248,"제6대, 제7대","경남 양산,동래군"
음,文太俊,문태준,1928-01-14,지역구,4선,민주공화당,,100007,남,제7대,7KC1599Z,"제7대, 제8대, 제9대, 제10대","경북 청송,영덕"
음,閔機植,민기식,1921-05-20,지역구,3선,민주공화당,,100007,남,제7대,VEL92627,"제7대, 제8대, 제9대",충북 청원군
음,閔丙權,민병권,1918-09-27,지역구,4선,민주공화당,,100007,남,제7대,NBP98519,"제6대, 제7대, 제8대, 제9대","경남 함양,거창군"
